id,author_username,author_location,author_description,author_created,author_followers,author_following,author_favourites,author_verified,date,text,retweets,likes,isRetweet
1735592651473190000.00,TLMNewsroom,Follow us everywhere. Link,"First To Speak in Africa | Credible | Follow & Turn On Post Notifications for Breaking News, Political News, Live Events, Sports, etc. | DM to partner!",Sat Feb 01 20:10:29 +0000 2020,4655,5,18810,TRUE,Fri Dec 15 09:28:28 +0000 2023,"In order to commence the Greater Accra Flood Early Warming Systems (FEWS) project, the Ghana Hydrological Authority and @GhanaMet have received state-of-the-art machinery from the Minister of Works and Housing, Francis Asenso-Boakye (MP).

The FEWS aims to enable people, https://t.co/EdhBEHBlCM",1,3,FALSE
1735580715977230000.00,mwh_ghana,Starlets 91Road-Ministries,The Ministry of Works and Housing is responsible for the initiation and formulation of Government’s policies and programmes for the Housing and Works sub-sector,Wed May 23 14:28:16 +0000 2018,1607,33,57,FALSE,Fri Dec 15 08:41:02 +0000 2023,The Minister Francis Asenso-Boakye (MP) has  handed over state-of-the art equipment to the @GhanaMet and the Ghana Hydrological Authority towards the implementation of the Greater Accra Flood Early Warming Systems (FEWS). https://t.co/KyrgmMKVsn,2,3,FALSE
1734133196671900000.00,V20Group,Climate Crisis Frontlines,The V20 Finance Ministers is a cooperation between 68 economies of @TheCVF. Chair: @oofmghana,Tue Apr 09 20:52:52 +0000 2019,2048,391,587,FALSE,Mon Dec 11 08:49:07 +0000 2023,"@MoF_Ghana @NADMOGHANA @GDP_Center @_MCII_ @FrankfurtSchool @G_Communities @rishirbhandary @oofmghana @KenOfori_Atta @IMFNews @TheGlobalShield @theGSSP @ClaudiaThyme @BMZ_Bund @InsDevForum @UNDP @InsuResilience @ISF_Solutions Charlotte Norman, CCA-DRR Director @NADMOGHANA: Ghana  is no stranger to coastal floods, drought, and urban floods. We are developing parametric flood insurance cover via Greater Accra Resilience Project with @ISF_Solutions via @InsDevForum @UNDP @BMZ_Bund etc #COP28 https://t.co/zquEtA2fik",1,1,FALSE
1721562488225890000.00,UNOSAT,"Geneva, Switzerland","Official account of the United Nations Satellite Centre - UNOSAT, UNITAR, imagery analysis, #satellite solutions, #GIS",Tue May 18 13:32:27 +0000 2010,12654,864,6291,FALSE,Mon Nov 06 16:17:36 +0000 2023,"New preliminary satellite-derived #flood assessment along the Volta River, Volta Region &amp; Greater Accra Region, #Ghana:

Decreased water along the Volta River
Flooded structures observed in Mepe village, North Tongu District

➡️https://t.co/9OKrcW8VHq

@UNinGhana @OCHAROWCA https://t.co/FpO7CDjjcV",1,5,FALSE
1720014531135500000.00,DNKonlaa,"Osu, Accra",Hospitality Consultant,Mon Apr 20 16:20:41 +0000 2009,167,1370,550,FALSE,Thu Nov 02 09:46:35 +0000 2023,"My Mentor!!! Thanks for sharing your wealth with the poor in Volta, Greater Accra and Eastern Regions after the Floods of Akosombo Spillage. I pray the God Africa and Ghana in particular to increase your riches beyond Africa in the name of Jesus Christ Amen Amen Amen.",0,1,FALSE
1717162764970440000.00,DMckorley,"Greater Accra, Ghana","Chairman, McDan Group. Father. Husband. Business leader with diverse interests in education, youth development, philanthropy & sports. I’m here to serve.",Mon Jul 16 12:50:51 +0000 2018,2306,53,314,FALSE,Wed Oct 25 12:54:41 +0000 2023,"On Saturday, in response to the severe flooding caused by the spillage of the Akosombo Dam, I visited parts of the Greater Accra and Volta regions to have an on-the-spot assessment of the devastating impact of the flood. https://t.co/s4zs4zat6b",3,33,FALSE
1716768662172870000.00,AWLN_GHANA,,"Ghana chapter of the @awlnnetwork, a ground breaking women led movement encouraging women leadership across all nations in Africa",Fri Dec 02 11:34:31 +0000 2022,33,36,16,FALSE,Tue Oct 24 10:48:39 +0000 2023,"PRESS STATEMENT: AFRICAN WOMEN LEADERS NETWORK (AWLN) GHANA NATIONAL CHAPTER APPEALS FOR MORE TARGETED SUPPORT FOR WOMEN AND CHILDREN AFFECTED BY FLOODS IN PARTS OF THE VOLTA, EASTERN AND GREATER ACCRA REGIONS OF GHANA https://t.co/d6a491TeuF",1,0,FALSE
1716549504596370000.00,wilandrews2012,Accra,"C A,United Nations Executive in Ghana",Fri Dec 23 09:58:50 +0000 2016,4,19,3,FALSE,Mon Oct 23 20:17:48 +0000 2023,"REMINDER !,REMINDER !!.
GHANAIAN MEDICAL DOCTORS AND NURSES ,I still wish to remind you to get ready in case of any outbreak of pandemic around Eastern, Volta and Greater Accra regions due to the contaminated water caused by the flood.",0,0,FALSE
1716500469722300000.00,GabbyHeptaGON,Accra,"Monitoring and evaluation (M&E) is an area where Ghana's economy has faced some challenges. While there are efforts to implement M&E frameworks and systems, the",Mon Mar 21 18:23:05 +0000 2011,6,17,2,FALSE,Mon Oct 23 17:02:57 +0000 2023,"I decided to share my perspective on the ACTUAL CAUSE(S) of the humanitarian challenge downstream of the lower Volta in several communities in parts of the Volta, Eastern, and Greater Accra regions, as too many Ghanaians are focusing on the immediate cause of the flood. https://t.co/oQdLwBsZ2N",0,0,FALSE
1715676994153690000.00,jmnartey,"Accra, Ghana",,Sat Sep 16 21:05:14 +0000 2017,54,194,357,FALSE,Sat Oct 21 10:30:45 +0000 2023,"*PROF. KPESSA-WHYTE AND FRIENDS DONATE TO FLOOD VICTIMS*

On Friday 20th Oct 2023, Prof. Michael Kpessa-Whyte and his friends visited the victims of the VRA spillage in the shai-Osudoku district of the Greater Accra regions and made some handsome donations to them. https://t.co/RFBY0PMsK7",0,0,FALSE
1715055851986170000.00,dennislawnews,"Greater Accra, Ghana",Leading in legal journalism,Tue Mar 01 12:38:41 +0000 2022,1200,44,35,FALSE,Thu Oct 19 17:22:33 +0000 2023,"Greater Accra Bar Association appeals for funds in support of Volta flood victims
#dennislawnews
https://t.co/Q0KumQgdIP",0,1,FALSE
